"TextForURL","URL"

"Skip to main content","https://pec.ac.in/faculty-affairs#main-content"

"Quick Links","https://pec.ac.in/faculty-affairs#0"

"Electrical Engineering","http://pec.ac.in/sites/default/files/uploads/faculty_ee_18-19-revised.pdf"

"Electronics and Communication Engineering","http://pec.ac.in/sites/default/files/uploads/faculty_ee_18-19.pdf"

"Production and Industrial Engineering","http://pec.ac.in/sites/default/files/uploads/faculty_pie_18-19.pdf"

"Guidelines for Engaging Faculty in PEC","http://pec.ac.in/sites/default/files/uploads/guidelines_for_engaging_faculty_in_pec_updated.pdf"

"Qualifications for Humanities and Management & TQM","http://pec.ac.in/sites/default/files/uploads/qualifications_for_humanities_and_management_updated.pdf"

"Provision of Emeritus/Visiting/Chair Professor","http://pec.ac.in/sites/default/files/uploads/provision_of_emeritus_visiting_chair_professor_updated.pdf"

"Engagement of Adjunct Faculty at PEC","http://pec.ac.in/sites/default/files/uploads/engagement_of_adjunct_faculty_at_pec_updated.pdf"

"Guidelines for Re-employment of Supperannuated Teachers","http://pec.ac.in/sites/default/files/uploads/guidelines_for_re-employment_of_supperannuated_teachers_updated.pdf"

"Administrative Duties","http://pec.ac.in/institute-functionaries"

"Faculty/Alumni/Staff Awards","http://pec.ac.in/sites/default/files/uploads/faculty_alumni_staff_awards_updated.pdf"

"Skip to main content","https://pec.ac.in/research-groups-recent-interests-faculty#main-content"

"Quick Links","https://pec.ac.in/research-groups-recent-interests-faculty#0"

"Skip to main content","https://pec.ac.in/csrc/faculty#main-content"

"Quick Links","https://pec.ac.in/csrc/faculty#0"

"Prof. Gurdit Singh","https://pec.ac.in/cse/prof-gurdit-singh"

"Skip to main content","https://pec.ac.in/faculty/cse#main-content"

"Quick Links","https://pec.ac.in/faculty/cse#0"

"Rajni Sethi","https://pec.ac.in/cse/faculty/rajni-sethi"

"Rattan Deep Kaur","https://pec.ac.in/cse/faculty/rattan-deep-kaur"

"Skip to main content","https://pec.ac.in/cse/faculty/rajni-sethi#main-content"

"Quick Links","https://pec.ac.in/cse/faculty/rajni-sethi#0"

"Publications","https://pec.ac.in/cse/faculty/rajni-sethi#tab3info"

"Skip to main content","https://pec.ac.in/cse/faculty/rattan-deep-kaur#main-content"

"Quick Links","https://pec.ac.in/cse/faculty/rattan-deep-kaur#0"

"Publications","https://pec.ac.in/cse/faculty/rattan-deep-kaur#tab3info"
